Étiquettes de lignes	Somme de Fréquence	Somme de Fréquence
ABBREVIATION	1,55%	86
DEFINITION	9,47%	526
DESCRIPTION	13,34%	741
ENTITY	22,50%	1250
LOCATION	15,41%	856
ORGANIZATION	3,40%	189
PERSON	17,58%	977
QUANTITY	12,54%	697
TEMPORAL	4,21%	234
(vide)	0,00%	
Total général	100,00%	5556
		
		
		
		
		
ABBREVIATION	1,55%	
DEFINITION	9,47%	
DESCRIPTION	13,34%	
ENTITY	22,50%	
LOCATION	15,41%	
ORGANIZATION	3,40%	
PERSON	17,58%	
QUANTITY	12,54%	
TEMPORAL	4,21%	
		
		
		
		
ABBREVIATION	86	
DEFINITION	526	
DESCRIPTION	741	
ENTITY	1250	
LOCATION	856	
ORGANIZATION	189	
PERSON	977	
QUANTITY	697	
TEMPORAL	234	
